,11,2
0,-2.464565992,-1.760171056
1,-2.447609901,-1.756187916
2,-2.430067301,-1.751099229
3,-2.41202426,-1.744895339
4,-2.393573284,-1.737602592
5,-2.373900414,-1.729331732
6,-2.351277113,-1.720149159
7,-2.325856447,-1.710125804
8,-2.29786396,-1.699350476
9,-2.267543077,-1.687929869
